"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Model Predictive Control for Smart Grids With Multiple Electric-Vehicle Charging Stations","Y. Shi; H. D. Tuan; A. V. Savkin; T. Q. Duong; H. V. Poor","School of Electrical and Data Engineering, University of Technology Sydney, Broadway, NSW, Australia; School of Electrical and Data Engineering, University of Technology Sydney, Broadway, NSW, Australia; School of Electrical Engineering and Telecommunications, University of New South Wales, Sydney, NSW, Australia; Queen’s University Belfast, Belfast, U.K.; Department of Electrical Engineering, Princeton University, Princeton, NJ, USA",IEEE Transactions on Smart Grid,"17 Feb 2019","2019","10","2","2127","2136","Next-generation power grids will likely enable concurrent service for residences and plug-in electric vehicles (PEVs). While the residence power demand profile is known and thus can be considered inelastic, the PEVs' power demand is only known after random PEV arrivals. PEV charging scheduling aims at minimizing the potential impact of the massive integration of PEVs into power grids to save service costs to customers while power control aims at minimizing the cost of power generation subject to operating constraints and meeting demand. This paper develops a model predictive control-based approach to address joint PEV charging scheduling and power control to minimize both PEV charging cost and energy generation cost in meeting both residence and PEV power demands. Unlike in related works, no assumptions are made about the probability distribution of PEVs' arrivals, knowledge of PEVs' future demand, or unlimited charging capacity of PEVs. The proposed approach is shown to achieve a globally optimal solution. Numerical results for IEEE benchmark power grids serving Tesla model S PEVs show the merit of this approach.","1949-3061","","10.1109/TSG.2017.2789333","Australian Research Council(grant numbers:DP130104617,DP170103750); Royal Academy of Engineering(grant numbers:RF1415/14/22); Engineering and Physical Sciences Research Council(grant numbers:EP/P019374/1); National Science Foundation(grant numbers:ECCS-1549881); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8245844","Smart power grid;plug-in electric vehicles;model predictive control;optimal power flow","Smart grids;Predictive control;Power demand;Power control;Electric vehicles","","132","","33","IEEE","3 Jan 2018","","","IEEE","IEEE Journals"
"Network Equilibrium of Coupled Transportation and Power Distribution Systems","W. Wei; L. Wu; J. Wang; S. Mei","State Key Laboratory of Power Systems, Tsinghua University, Beijing, China; Department of Electrical and Computer Engineering, Clarkson University, Potsdam, NY, USA; Department of Electrical Engineering, Southern Methodist University, Dallas, TX, USA; State Key Laboratory of Power Systems, Tsinghua University, Beijing, China",IEEE Transactions on Smart Grid,"18 Oct 2018","2018","9","6","6764","6779","This paper presents a holistic modeling framework for the interdependent transportation network and power distribution network. From a system-level perspective, on-road fast charging stations would simultaneously impact vehicle routing in the transportation system and load flows in the distribution system, therefore tightly couple the two systems. In this paper, a dedicated traffic user equilibrium model is proposed to describe the steady-state distribution of traffic flows comprised of gasoline vehicles and electric vehicles. It encapsulates route selections, charging opportunities, electricity prices, and individual rationalities of minimum travel expense in a convex traffic assignment problem over an extended transportation network. An adaptive path generation oracle is suggested to solve the problem in a tractable manner. Economic operation of the power distribution system is formulated as an alternating current optimal power flow problem. Convex relaxation is performed. The optimal generation dispatch and nodal electricity prices can be computed from a second-order cone program. It is revealed that an equilibrium state will emerge due to the rational behaviors in the coupled systems, which is characterized via a fixed-point problem. A best-response decomposition algorithm is suggested to identify the network equilibrium through iteratively solving the traffic assignment problem and the optimal power flow problem, both of which entail convex optimization. Illustrative examples are presented to validate related concepts and methods.","1949-3061","","10.1109/TSG.2017.2723016","National Natural Science Foundation of China(grant numbers:51621065); National Science Foundation(grant numbers:BIC-1534035); U.S. Natural Science Foundation(grant numbers:1638348); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7967870","Electric vehicle;interdependency;locational marginal price (LMP);network equilibrium;optimal power flow;power distribution network;static traffic assignment;transportation network;Wardrop user equilibrium","Transportation;Economics;Electric vehicles;Reactive power;Batteries;Pricing;Optimal power","","294","","75","IEEE","4 Jul 2017","","","IEEE","IEEE Journals"
"A Planning Approach for the Network Configuration of AC-DC Hybrid Distribution Systems","H. M. A. Ahmed; A. B. Eltantawy; M. M. A. Salama","Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada",IEEE Transactions on Smart Grid,"19 Apr 2018","2018","9","3","2203","2213","This paper proposes a novel stochastic planning model for AC-DC hybrid distribution systems (DSs). Taking into account the possibility of each line/bus being AC or DC, the model finds the optimal AC-DC hybrid configuration of buses and lines in the DS. It incorporates consideration of the stochastic behavior of load demands and renewable-based distributed generators (DGs). The stochastic variations are addressed using a Monte-Carlo simulation technique. The objective of the planning model is the minimization of DS installation and operation costs. The optimal planning solution is obtained by dividing the hybrid planning problem into two nested optimization problems: 1) the main problem is formulated using a genetic algorithm (GA) to search for the optimal AC-DC configuration and 2) the subproblem is used for determining the optimal power flow solution for each configuration generated by the GA. The proposed model has been employed for finding the optimal configuration for a suggested case study that included photovoltaic panels, wind-based DG, and electric vehicle charging stations. The same case study was also solved using a traditional AC planning technique in order to evaluate the effectiveness of the proposed model and the associated cost-savings. The results demonstrate the advantages offered by the proposed model. The proposed framework represents an effective technique that can be used by DS operators to identify the optimal AC-DC network configuration of future DSs.","1949-3061","","10.1109/TSG.2016.2608508","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7564442","Distribution system planning;AC-DC distribution systems;hybrid power systems;voltage source converter;electric vehicle charging stations;renewable distributed generation","Planning;Decision support systems;Power conversion;Load modeling;Reactive power;Hybrid power systems","","92","","40","IEEE","12 Sep 2016","","","IEEE","IEEE Journals"
"Decentralized Optimization of Multi-Area Power-Transportation Coupled Systems Based on Variational Inequalities","S. Xie; Z. Chen; Y. Zhang; S. Cao; K. Chen","School of Electrical Engineering and Automation, Fuzhou University, Fuzhou, China; School of Electrical Engineering and Automation, Fuzhou University, Fuzhou, China; School of Electrical Engineering and Automation, Fuzhou University, Fuzhou, China; Dispatch Control Center, State Grid Corporation of China (SGCC), Beijing, China; School of Electrical Engineering and Automation, Fuzhou University, Fuzhou, China",CSEE Journal of Power and Energy Systems,"13 Oct 2025","2025","11","5","2386","2398","Current urban transport and energy systems are gradually being integrated and developed towards a state of multi-area interconnection. This paper proposes a decentralized optimization approach of multi-area power-transport coupled systems (PTCSs) based on this change. To begin with, models concerning optimal power flow and mixed equilibrium flow are defined to describe flow patterns, respectively. Considering the traffic assignment model is nonlinear and challenging to solve, this paper converts it into an equivalent variational inequality (VI). With this foundation, a decentralized optimization model is proposed, and decoupling strategies are investigated. To solve the problem effectively, an improved algorithm applicable to the decentralized optimization of PTCSs, supported by the VI tool, is proposed. In addition, a rigorous convergence analysis of the proposed algorithm was conducted. Simulations indicate the proposed algorithm solves the problem with good results and can guarantee convergence within a reasonable time frame.","2096-0042","","10.17775/CSEEJPES.2022.05760","National Natural Science Foundation of China(grant numbers:52307087); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10106206","Decentralized optimization;electric vehicle;multi-area power-transport coupled system;variational inequality","Manganese;Indexes;Charging stations;Upper bound;Reactive power;Convergence;Linear programming","","1","","36","","20 Apr 2023","","","CSEE","CSEE Journals"
"A Stochastic Game Approach for PEV Charging Station Operation in Smart Grid","Y. Liu; R. Deng; H. Liang","Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada; Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada; Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada",IEEE Transactions on Industrial Informatics,"2 Mar 2018","2018","14","3","969","979","In the future, smart grid charging stations will be critical infrastructures for plug-in electric vehicle (PEV) to replenish their batteries in a convenient way. Due to the ever-increasing penetration rate of PEVs, how to efficiently manage the loads of PEV charging stations to ensure system efficiency and reliability is a major challenge faced by the distribution service providers (DSPs) in the smart grid. This challenge is further complicated by the highly dynamic PEV mobility, which results in random PEV arrivals, departures, and charging demands. In order to address this challenge, a stochastic game approach is proposed in this paper to characterize the interactions among DSP, charging stations, and PEV owners, where the randomness in charging decision making processes of PEV owners is modeled by a Markov decision process. Based on the Nash equilibrium solution of the stochastic game, a real time pricing scheme is proposed for the DSP to minimize power distribution losses while ensuring system reliability. The performance of the proposed approach is evaluated via extensive simulations based on the IEEE 123 bus test feeder with real vehicle mobility data from the 2009 National Household Travel Survey and the 2010 National Travel Survey.","1941-0050","","10.1109/TII.2017.2781226","Alberta Innovates Technology Futures Postdoctoral Fellowship; Natural Sciences and Engineering Research Council of Canada; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8170319","Charging station;Nash equilibrium;plug-in electric vehicle (PEV);real time pricing (RTP);smart grid;stochastic game (SG)","Charging stations;Games;Stochastic processes;Real-time systems;Smart grids;Reliability;Optimization","","51","","40","IEEE","8 Dec 2017","","","IEEE","IEEE Journals"
"Optimal Cooperative Charging Strategy for a Smart Charging Station of Electric Vehicles","P. You; Z. Yang; M. -Y. Chow; Y. Sun","State Key Laboratory of Industrial Control Technology, Zhejiang University, Hangzhou, China; State Key Laboratory of Industrial Control Technology, Zhejiang University, Hangzhou, China; Department of Electrical Engineering, North Carolina State University, Raleigh, NC, USA; State Key Laboratory of Industrial Control Technology, Zhejiang University, Hangzhou, China",IEEE Transactions on Power Systems,"2 May 2016","2016","31","4","2946","2956","This paper proposes a novel cooperative charging strategy for a smart charging station in the dynamic electricity pricing environment, which helps electric vehicles (EVs) to economically accomplish the charging task by the given deadlines. This strategy allows EVs to share their battery-stored energy with each other under the coordination of an aggregator, so that more flexibility is given to the aggregator for better scheduling. Mathematically, the scheduling problem is formulated as a constrained mixed-integer linear program (MILP) to capture the discrete nature of the battery states, i.e., charging, idle and discharging. Then, an efficient algorithm is proposed to solve the MILP by means of dual decomposition and Benders decomposition. At last, the algorithm can be implemented in a distributed fashion, which makes it scalable and thus suitable for large-scale scheduling problems. Numerical results validate our theoretical analysis.","1558-0679","","10.1109/TPWRS.2015.2477372","National Natural Science Foundation of China(grant numbers:61371159); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7287792","Benders decomposition;distributed optimization;dual decomposition;pricing","Charging stations;Batteries;Scheduling;Power grids;Optimal scheduling;Electric vehicles","","126","","31","IEEE","2 Oct 2015","","","IEEE","IEEE Journals"
"Time Horizon-Based Model Predictive Volt/VAR Optimization for Smart Grid Enabled CVR in the Presence of Electric Vehicle Charging Loads","S. Singh; V. B. Pamshetti; S. P. Singh","Department of Electrical Engineering, Indian Institute of Technology (BHU), Varanasi, India; Department of Electrical Engineering, Indian Institute of Technology (BHU), Varanasi, India; Department of Electrical Engineering, Indian Institute of Technology (BHU), Varanasi, India",IEEE Transactions on Industry Applications,"11 Nov 2019","2019","55","6","5502","5513","This paper investigates the need of coordinated operation of conservation voltage reduction (CVR) in the presence of electric vehicle (EV) penetration in the active distribution network. In order to analyze the impact of both the technologies (CVR and EV), a time horizon-based model predictive Volt/VAR optimization (VVO) methodology has been introduced in smart grid framework. The proposed VVO methodology operates in centralized as well as local controls under different time scale of operation, including cloud transient effects on solar photovoltaic (PV) power output. Moreover, the control algorithms also consider the uncertainties in load demand and PV power generation. The VVO methodology has been validated with and without presence of EV loads in the distribution network. The VVO includes the impact of different EV charging loads having the ability of participation in reactive power support at selected charging points. This is also referred to as vehicle-to-grid operation in terms of reactive power dispatch only. Besides, the voltage and VAR regulation through smart inverters of PVs and EV charging station has been fruitfully utilized in global as well as local domain. A real-time Volt/VAR droop based controller has been introduced to control the smart inverters reactive power dispatch. To validate the developed methodology, a real-time cosimulation framework, using real-time digital simulator and Python interface, has been built. The proposed model predictive VVO algorithm has been tested and validated on a modified IEEE 34 bus test system. The simulated results reveal that significant CVR energy savings and losses reduction has been achieved without violating the system constraints. The voltage control algorithm works well in both slow and fast time scales.","1939-9367","","10.1109/TIA.2019.2928490","Banaras Hindu University(grant numbers:IIT(BHU)/R&D/Lab,Grant/2018-19/4161/L); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8762192","Conservation voltage reduction (CVR);electric vehicle (EV);smart grid;Volt/VAR control (VVC)","Reactive power;Inverters;Load modeling;Electric vehicle charging;Voltage control;Uncertainty;Vehicle-to-grid","","87","","25","IEEE","15 Jul 2019","","","IEEE","IEEE Journals"
"Optimal Vehicle Charging in Bilevel Power-Traffic Networks via Charging Demand Function","Y. Zhang; S. Dey; Y. Shi","Department of Electrical and Computer Engineering, University of California at San Diego, La Jolla, CA, USA; Department of Electrical and Computer Engineering, University of California at San Diego, La Jolla, CA, USA; Department of Electrical and Computer Engineering, University of California at San Diego, La Jolla, CA, USA",IEEE Transactions on Smart Grid,"22 Apr 2024","2024","15","3","3054","3065","Electric vehicle (EV) charging couples the operation of power and traffic networks. Specifically, the power network determines the charging price at various locations, while EVs on the traffic network optimize the charging power given the price, acting as price-takers. We model such decision-making processes by a bilevel program, with the power network at the upper-level and the traffic network at the lower-level. However, since the two networks are managed by separate entities and the charging expense term, calculated as the product of charging price and charging demand, is nonlinear. Solving the bilevel program is nontrivial. To overcome these challenges, we derive the charging demand function using multiparametric programming theory. This function establishes a piecewise linear relationship between the charging price and the optimal charging power, enabling the power network operator to manage EV charging power independently while accounting for the coupling between the two networks. With the derived function, we are also able to replace the nonlinear charging expense term with a piecewise quadratic one, thus guaranteeing solution optimality. Our numerical studies demonstrate that different traffic demands can have an impact on charging patterns and the power network can effectively incentivize charging at low-price nodes through price setting.","1949-3061","","10.1109/TSG.2023.3327070","Shanghai Jiao Tong University Outstanding Doctoral Graduate Development Scholarship; NSF(grant numbers:2200692); Hellman Fellowship; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10293190","Electric vehicles;bilevel program;coupled networks;charging demand function","Electric vehicle charging;Optimization;Charging stations;Costs;Behavioral sciences;Information exchange;Couplings","","4","","32","IEEE","24 Oct 2023","","","IEEE","IEEE Journals"
"Residential electrical vehicle charging strategies: the good, the bad and the ugly","M. Liu; P. Mcnamara; R. Shorten; S. Mcloone","Hamilton Institute, Maynooth University, Maynooth, Co., Kildare, Ireland; Department of Electronic Engineering, Maynooth University, Maynooth, Co., Kildare, Ireland; IBM Research, Dublin, Ireland; School of Electronics, Electrical Engineering and Computer Science, Queen's University Belfast, Belfast, UK",Journal of Modern Power Systems and Clean Energy,"28 Feb 2020","2015","3","2","190","202","In recent years, a wide variety of centralised and decentralised algorithms have been proposed for residential charging of electric vehicles (EVs). In this paper, we present a mathematical framework which casts the EV charging scenarios addressed by these algorithms as optimisation problems having either temporal or instantaneous optimisation objectives with respect to the different actors in the power system. Using this framework and a realistic distribution network simulation testbed, we provide a comparative evaluation of a range of different residential EV charging strategies, highlighting in each case positive and negative characteristics.","2196-5420","","10.1007/s40565-015-0122-2","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9018448","Electric vehicle;Smart grid;Decentralised control;Centralised control;Demand side management","Electric vehicle charging;State of charge;Cost function;Vehicle-to-grid","","22","","56","","28 Feb 2020","","","SGEPRI","SGEPRI Journals"
"Development of a Hardware-in-The-Loop Testbed for a Decentralized, Data-Driven Electric Vehicle Charging Control Algorithm","E. Ucer; M. J. Kisacikoglu","National Renewable Energy Laboratory, Golden, CO, USA; National Renewable Energy Laboratory, Golden, CO, USA",IEEE Transactions on Industry Applications,"18 Jul 2024","2024","60","4","6622","6633","This study presents the design of an electric vehicle (EV)-grid integration (EVGI) hardware test-bed to implement smart EV charging algorithms. The proposed test-bed also allows to create different grid events via flexible integration of other power hardware (e.g., controllable loads and battery energy storage systems) and test their impacts on EV charging. The design uses a real-time digital simulator to realize a complex distribution grid model with primary and secondary networks. A grid simulator physically realizes the selected nodes of the simulated grid to power an actual EV, forming a hardware-in-the-loop (HIL) test setup. The EV-grid integration is demonstrated based on the custom hardware and software implementation of the J1772 charging protocol using dSPACE MicroLabBox, operating as a custom EV Supply Equipment (EVSE). The HIL test-bed features a novel testing platform for accurate implementation and analysis of scalable charging algorithms. To this end, a data-driven, decentralized, model-free charging controller based on the Additive Increase and Multiplicative Decrease (AIMD) algorithm is presented and validated on an EV using the HIL test-bed. We tested the proposed algorithm under various case studies, and presented a comparison study with an existing droop-based, decentralized charging solution. The results showed that the EV successfully performed charging commands generated by the EVSE and regulated its charging power to effectively reduce the system loading caused by high EV penetration.","1939-9367","","10.1109/TIA.2024.3384480","National Science Foundation(grant numbers:1755996); University of Alabama; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10490223","AIMD;EVs;HIL;decentralized control;data-driven control;grid integration;smart charging","Real-time systems;Transformers;Electric vehicle charging;Load modeling;Hardware;Voltage control;Monitoring","","2","","38","IEEE","3 Apr 2024","","","IEEE","IEEE Journals"
"An AI Driven, Reliability-Based Planning Framework for Electric Vehicles Integrated Distribution Network Considering Renewable Energy Support","E. Boima Fahnbulleh; S. Nandi; S. R. Ghatak; S. Sannigrahi; P. Acharjee","School of Electrical Engineering, KIIT Deemed to be University, Bhubaneswar, Odisha, India; School of Electrical Engineering, KIIT Deemed to be University, Bhubaneswar, Odisha, India; School of Electrical Engineering, KIIT Deemed to be University, Bhubaneswar, Odisha, India; Electrical Engineering Department, NIT Raipur, Raipur, Chhattisgarh, India; Electrical Engineering Department, NIT Durgapur, Durgapur, West Bengal, India",IEEE Access,"31 Oct 2025","2025","13","","184978","184998","The presence of Electric Vehicle Charging Infrastructure (EVCI) in the Distribution Network (DN) adversely impacts grid operations, affecting system voltage profile, power loss, and reliability, particularly under unplanned placement. To address this, a comprehensive planning framework is proposed considering EVCI, Photovoltaic (PV), and Battery Storage System (BSS), while minimizing techno-economic and reliability impacts using a novel Enhanced Harris Hawk Optimization (EHHO) technique that adheres to system constraints. The research employs a Deep Learning-based Gated Recurrent Unit algorithm to accurately forecast EV charging load and PV generation. The EVCIs are allocated in the DN using a novel Bus Reliability Index (BRI) and load density method. For more practicality, a time dependent failure rate is considered for feeder, PV and BSS to model the reliability. The proposed methodology is tested on the IEEE 15-bus DN and the 28-bus Indian rural DN. Comparative performance analysis demonstrates the superiority of the proposed approach. Results show that integrating PV and BSS with EVCI significantly improves the system reliability, voltage profile and reduces power loss. Specifically, in terms of reliability index Expected Energy Not Served (EENS), the presence of PV and BSS reduces EENS by 16% in the 15-bus DN and by 27% in the 28-bus DN compared to integration with only EVCI.","2169-3536","","10.1109/ACCESS.2025.3624041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11214147","System average interruption frequency index;system average interruption duration index;average expected energy not served;expected energy not served;enhanced HHO;distribution network","Reliability;Electric vehicle charging;Costs;Forecasting;Uncertainty;Planning;Long short term memory;Load modeling;Voltage;Logic gates","","1","","50","CCBY","21 Oct 2025","","","IEEE","IEEE Journals"
"Combined Approach for Power Loss Minimization in Distribution Networks in the Presence of Gridable Electric Vehicles and Dispersed Generation","S. Velamuri; S. H. C. Cherukuri; S. K. Sudabattula; N. Prabaharan; E. Hossain","Symbiosis Institute of Technology, Symbiosis International (Deemed University), Pune, India; Discipline of Electrical Engineering, Indian Institute of Technology Gandhinagar, Gandhinagar, India; School of Electronics and Electrical Engineering, Lovely Professional University, Phagwara, India; School of Electrical and Electronics Engineering, SASTRA Deemed University, Thanjavur, India; Department of Electrical Engineering and Renewable Energy, Oregon Institute of Technology, Klamath Falls, OR, USA",IEEE Systems Journal,"13 Jun 2022","2022","16","2","3284","3295","Increased electric vehicles (EVs) penetration into the distribution network burdens the system during the charging process. But the same turns out to be advantageous if the EVs are used to support the utility based on the requirement. In this work, an attempt is made to efficiently schedule both the grid-to-vehicle and vehicle-to-grid operational modes of EVs with the objective of reducing power loss in the distribution system in presence of distributed generation (DG). The EVs are modeled by considering the dominating factors, such as EV State of Charge (SoC), trip conditions, EV battery capacity, charging/discharging levels. An improvement to the existing grasshopper optimization technique is also suggested in this article, which enhances the exploring capability of the metaheuristic algorithm. The presented methodology is a combination of smart charging method, voltage stability index, and enhanced grasshopper optimization algorithm (EGOA), which decides the size of DGs to be placed in the system. The proposed hybrid approach tries to schedule both the EVs and DGs so as to achieve reduced power loss and improved voltage profile. In order to test the robustness of the proposed strategy, various analyses considering uncertainty in EVs and load conditions are performed.","1937-9234","","10.1109/JSYST.2021.3123436","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9624174","Distributed generation (DG);enhanced grasshopper optimization algorithm (EGOA);electric vehicles (EVs);grid-to-vehicle (G2V);vehicle-to-grid (V2G)","Peak to average power ratio;Charging stations;Vehicle-to-grid;Minimization;Schedules;Resource management;Indexes","","31","","26","IEEE","22 Nov 2021","","","IEEE","IEEE Journals"
"Demand Response as a Service: Clearing Multiple Distribution-Level Markets","G. Tsaousoglou; P. Soumplis; N. Efthymiopoulos; K. Steriotis; A. Kretsis; P. Makris; P. Kokkinos; E. Varvarigos","Eindhoven University of Technology, Eindhoven, AZ, The Netherlands; National Technical University of Athens, Athens, Greece; National Technical University of Athens, Athens, Greece; National Technical University of Athens, Athens, Greece; National Technical University of Athens, Athens, Greece; National Technical University of Athens, Athens, Greece; Department of Digital Systems, University of the Peloponnese, Tripoli, Greece; National Technical University of Athens, Athens, Greece",IEEE Transactions on Cloud Computing,"8 Mar 2022","2022","10","1","82","96","The uncertain and non-dispatchable nature of renewable energy sources renders Demand Response (DR) a critical component of modern electricity distribution systems. Demand Response (DR) service provision takes place via aggregators and special distribution-level markets (e.g., flexibility markets), where small, distributed DR resources, such as building energy management systems, electric vehicle charging stations, micro-generation and storage, connected to the low-voltage distribution grid, offer DR services. In such systems, energy balancing (and thus, also DR decisions) have to be made close to real-time. Thus, market clearing algorithms for DR service provision must fulfill several requirements related to the efficiency of their operation. More specifically, a DR market clearing algorithm needs to be optimal in terms of cost-efficiency, scalable in terms of number of assets and locations, and able to satisfy real-time constraints. In order to cope with these challenges, this article presents a distributed DR market clearing algorithm based on Lagrangian decomposition, combined with an optimal cloud resource allocation algorithm for assigning the required computation power. A heuristic algorithm is also presented, able to achieve a near-optimal solution, within negligible computational time. Simulations, performed on a testbed, demonstrate the computational burden introduced by various DR models, as well as the heuristic algorithm's near-optimal performance. The resource allocation algorithm is able to service multiple DR requests (e.g., in multiple distribution networks), and minimize the cost of computational resources while respecting the execution time constraints of each request. This enables third parties to offer cost-efficient and competitive DR operation as a service.","2168-7161","","10.1109/TCC.2021.3117598","European Union's Horizon 2020(grant numbers:863876); Marie Skłodowska-Curie(grant numbers:754462); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9557809","Smart grid;flexibility markets;demand response;cloud","Cloud computing;Costs;Computer architecture;Task analysis;Resource management;Computational modeling;Heuristic algorithms","","11","","36","IEEE","4 Oct 2021","","","IEEE","IEEE Journals"
"Optimal Location and Sizing of Electric Bus Battery Swapping Station in Microgrid Systems by Considering Revenue Maximization","M. C. Kocer; A. Onen; J. Jung; H. Gultekin; S. Albayrak","Department of Electrical Engineering and Computer Science, Technical University of Berlin, Berlin, Germany; Department of Electrical--Electronics Engineering, Abdullah G\""{u}l University, Kayseri, Turkey; Department of Energy Systems Research, Ajou University, Suwon, South Korea; Department of Mechanical and Industrial Engineering, College of Engineering, Sultan Qaboos University, Al-Khoud, Muscat, Oman; Department of Electrical Engineering and Computer Science, Technical University of Berlin, Berlin, Germany",IEEE Access,"1 May 2023","2023","11","","41084","41095","The radical increase in the popularity of electric vehicles (EVs) has in turn increased the number of associated problems. Long waiting times at charging stations are a major barrier to the widespread adoption of EVs. Therefore, battery swapping stations (BSSs) are an efficient solution that considers short waiting times and healthy recharging cycles for battery systems. Moreover, swapping stations have emerged as a great opportunity not only for EVs, but also for power systems, with regulation services that can be provided to the grid particularly for small networks, such as microgrid (MG) systems. In this study, the optimum location and size that maximize the revenue of a swap station in an MG system are investigated. To the best of our knowledge, this study is first to solve the placing and sizing problem in the MG from the perspective of a BSS. The results indicate that bus 23 is the BSS’s optimal location and is crucial for maximizing revenue and addressing issues like the provision of ancillary services in microgrid system. Finally, the swap demand profile of the station serving electric bus public transportation system was obtained using an analytical model based on public transportation data collected in Berlin, Germany.","2169-3536","","10.1109/ACCESS.2023.3267801","Energy AI Convergence Research & Development Program through the National IT Industry Promotion Agency of Korea (NIPA) funded by the Ministry of Science and ICT(grant numbers:S1601-20-1005); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10103614","Ancillary services;battery swapping station;electric bus;electric vehicle;microgrid;optimal location","Batteries;Optimization;Microgrids;Charging stations;Costs;Regulation;Vehicle-to-grid","","23","","41","CCBYNCND","17 Apr 2023","","","IEEE","IEEE Journals"
"Hierarchical Distributed Framework for Optimal Dynamic Load Management of Electric Vehicles With Vehicle-to-Grid Technology","M. Ahmed; Y. Abouelseoud; N. H. Abbasy; S. H. Kamel","Department of Engineering Mathematics and Physics, Alexandria University, Alexandria, Egypt; Department of Engineering Mathematics and Physics, Alexandria University, Alexandria, Egypt; Department of Electrical Engineering, Alexandria University, Alexandria, Egypt; Department of Engineering Mathematics and Physics, Alexandria University, Alexandria, Egypt",IEEE Access,"20 Dec 2021","2021","9","","164643","164658","The tendency towards carbon dioxide reduction greatly stimulates the popularity of electric vehicles against conventional vehicles. However, electric vehicle chargers represent a huge electric burden, which affects the performance and stability of the grid. Various optimization methodologies have been proposed in literature to enhance the performance of the distribution grids. However, existing techniques handle the raised issues from individual perspectives and/or with limited scopes. Therefore, this paper aims to develop a distributed controller-based coordination scheme in both medium and low voltage networks to handle the electric vehicles’ charging impact on the power grid. The scope of this work covers improving the network voltage profile, reducing the total active and reactive power, reducing the load fluctuations and total charging cost, while taking into consideration the random arrivals/departures of electric vehicles and the vehicle owners’ preferred charging time zones with vehicle-to-grid technology. Simulations are carried out to prove the success of the proposed method in improving the performance of IEEE 31-bus 23 kV system with several 415 V residential feeders. Additionally, the proposed method is validated using Controller Hardware-in-the-Loop. The results show that the proposed method can significantly reduce the issues that appear in the electric power grid during charging with minor changes in the existing grid. The results prove the successful implementation of different types of charging, namely, ultra-fast, fast, moderate, normal and vehicle-to-grid charging with minimum charging cost to enhance the owner’s satisfaction level.","2169-3536","","10.1109/ACCESS.2021.3134868","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9646927","EV charging;quadratic programming;pattern search;energy management;V2G;V2V","Costs;Charging stations;Vehicle-to-grid;Optimization;Electric vehicle charging;Voltage control;Fluctuations","","15","","37","CCBY","10 Dec 2021","","","IEEE","IEEE Journals"
